Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
32100,0,36.6086311,-121.8794708,14.78,55.00,36.6085548,-121.8796081,50.00,1722,1678,1500,1500
32175,0,36.6086311,-121.8794708,13.57,53.00,36.6085586,-121.8795928,50.00,1712,1688,1500,1500
33110,0,36.6086311,-121.8794708,13.57,53.00,36.6085586,-121.8795928,50.00,1712,1688,1500,1500
33183,0,36.6086311,-121.8794708,13.13,55.00,36.6085662,-121.8795928,50.00,1723,1677,1500,1500
34105,0,36.6086311,-121.8794708,13.13,55.00,36.6085662,-121.8795928,52.00,1713,1687,1500,1500
34179,0,36.6086311,-121.8794708,11.18,49.00,36.6085662,-121.8795700,52.00,1684,1716,1500,1500
35102,0,36.6086311,-121.8794708,11.18,49.00,36.6085662,-121.8795700,51.00,1688,1712,1500,1500
35178,0,36.6086311,-121.8794708,10.93,50.00,36.6085700,-121.8795700,51.00,1693,1707,1500,1500
36098,0,36.6086311,-121.8794708,10.93,50.00,36.6085700,-121.8795700,49.00,1703,1697,1500,1500
36173,0,36.6086311,-121.8794708,10.70,52.00,36.6085739,-121.8795700,49.00,1713,1687,1500,1500
37109,0,36.6086311,-121.8794708,10.70,52.00,36.6085739,-121.8795700,49.00,1713,1687,1500,1500
37184,0,36.6086311,-121.8794708,9.51,50.00,36.6085777,-121.8795547,49.00,1703,1697,1500,1500
38097,0,36.6086311,-121.8794708,9.51,50.00,36.6085777,-121.8795547,48.00,1708,1692,1500,1500
38173,0,36.6086311,-121.8794708,9.27,51.00,36.6085815,-121.8795547,48.00,1713,1687,1500,1500
39103,0,36.6086311,-121.8794708,9.27,51.00,36.6085815,-121.8795547,47.00,1718,1682,1500,1500
39179,0,36.6086311,-121.8794708,8.83,55.00,36.6085853,-121.8795547,47.00,1739,1661,1500,1500
40094,0,36.6086311,-121.8794708,8.83,55.00,36.6085853,-121.8795547,48.00,1734,1666,1500,1500
40169,0,36.6086311,-121.8794708,7.61,54.00,36.6085891,-121.8795394,49.00,1724,1676,1500,1500
41101,0,36.6086311,-121.8794708,7.61,54.00,36.6085891,-121.8795394,51.00,1714,1686,1500,1500
41178,0,36.6086311,-121.8794708,7.39,56.00,36.6085929,-121.8795394,51.00,1725,1675,1500,1500
42098,0,36.6086311,-121.8794708,7.39,56.00,36.6085929,-121.8795394,53.00,1715,1685,1500,1500
42174,0,36.6086311,-121.8794708,7.18,58.00,36.6085968,-121.8795394,53.00,1725,1675,1500,1500
43101,0,36.6086311,-121.8794708,7.18,58.00,36.6085968,-121.8795394,54.00,1720,1680,1500,1500
43177,0,36.6086311,-121.8794708,5.96,53.00,36.6086006,-121.8795242,54.00,1696,1704,1500,1500
44091,0,36.6086311,-121.8794708,5.96,53.00,36.6086006,-121.8795242,55.00,1691,1709,1500,1500
44166,0,36.6086311,-121.8794708,5.75,58.00,36.6086044,-121.8795242,55.00,1715,1685,1500,1500
45091,0,36.6086311,-121.8794708,5.75,58.00,36.6086044,-121.8795242,54.00,1721,1679,1500,1500
45165,0,36.6086311,-121.8794708,5.55,59.00,36.6086082,-121.8795242,54.00,1726,1674,1500,1500
46099,0,36.6086311,-121.8794708,5.55,59.00,36.6086082,-121.8795242,54.00,1726,1674,1500,1500
46175,1,-99.0000000,-99.0000000,14989652.00,58.00,36.6086158,-121.8795089,54.00,1721,1679,1500,1500
47090,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8795089,56.00,1900,1300,1500,1500
47164,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086196,-121.8795089,56.00,1900,1300,1500,1500
48096,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086196,-121.8795089,69.00,1900,1300,1500,1500
48172,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086235,-121.8794937,70.00,1900,1300,1500,1500
49098,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086235,-121.8794937,88.00,1900,1300,1500,1500
49172,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,90.00,1900,1300,1500,1500
50095,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,110.00,1900,1300,1500,1500
50170,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,112.00,1900,1300,1500,1500
51086,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086273,-121.8794937,133.00,1900,1400,1500,1500
