Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
32627,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8795089,84.00,1900,1300,1500,1500
32704,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8795089,86.00,1900,1300,1500,1500
33633,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8795089,103.00,1900,1300,1500,1500
33708,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,104.00,1900,1300,1500,1500
34630,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,119.00,1900,1325,1500,1500
34706,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,121.00,1900,1331,1500,1500
35629,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,135.00,1900,1399,1500,1500
35704,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,136.00,1900,1402,1500,1500
36633,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794937,149.00,1900,1465,1500,1500
36711,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794784,150.00,1900,1468,1500,1500
37623,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086158,-121.8794784,160.00,1883,1517,1500,1500
37698,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8794784,161.00,1879,1521,1500,1500
38627,1,-99.0000000,-99.0000000,14989652.00,184.00,36.6086082,-121.8794784,169.00,1840,1560,1500,1500
38702,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6086006,-121.8794784,170.00,1836,1564,1500,1500
39621,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6086006,-121.8794784,178.00,1796,1604,1500,1500
39697,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085929,-121.8794784,179.00,1791,1609,1500,1500
40622,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085929,-121.8794784,185.00,1761,1639,1500,1500
40696,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085891,-121.8794784,185.00,1761,1639,1500,1500
41619,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085891,-121.8794784,191.00,1731,1669,1500,1500
41695,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085815,-121.8794784,192.00,1725,1675,1500,1500
42619,1,-99.0000000,-99.0000000,14989649.00,184.00,36.6085815,-121.8794784,194.00,1715,1685,1500,1500
42695,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085739,-121.8794784,194.00,1714,1686,1500,1500
43618,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085739,-121.8794784,195.00,1709,1691,1500,1500
43694,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085662,-121.8794784,196.00,1703,1697,1500,1500
44621,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085662,-121.8794784,192.00,1723,1677,1500,1500
44697,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085624,-121.8794784,192.00,1722,1678,1500,1500
45616,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085624,-121.8794784,194.00,1712,1688,1500,1500
45693,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085548,-121.8794784,194.00,1711,1689,1500,1500
46615,1,-99.0000000,-99.0000000,14989646.00,184.00,36.6085548,-121.8794784,192.00,1721,1679,1500,1500
46691,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085433,-121.8794937,192.00,1721,1679,1500,1500
47618,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085433,-121.8794937,192.00,1720,1680,1500,1500
47694,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085395,-121.8794937,192.00,1720,1680,1500,1500
48622,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085395,-121.8794937,191.00,1724,1676,1500,1500
48700,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085357,-121.8794937,191.00,1724,1676,1500,1500
49619,1,-99.0000000,-99.0000000,14989644.00,184.00,36.6085357,-121.8794937,187.00,1744,1656,1500,1500
49695,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8794937,187.00,1744,1656,1500,1500
50619,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085281,-121.8794937,186.00,1749,1651,1500,1500
50696,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085205,-121.8794937,186.00,1749,1651,1500,1500
51611,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085205,-121.8794937,188.00,1738,1662,1500,1500
51688,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085128,-121.8794937,188.00,1738,1662,1500,1500
52617,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085128,-121.8794937,189.00,1733,1667,1500,1500
52694,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085090,-121.8794937,189.00,1733,1667,1500,1500
53608,1,-99.0000000,-99.0000000,14989641.00,184.00,36.6085090,-121.8794937,190.00,1727,1673,1500,1500
53685,1,-99.0000000,-99.0000000,14989640.00,184.00,36.6085014,-121.8794937,190.00,1727,1673,1500,1500
54609,1,-99.0000000,-99.0000000,14989640.00,184.00,36.6085014,-121.8794937,187.00,1742,1658,1500,1500
54685,1,-99.0000000,-99.0000000,14989640.00,184.00,36.6084976,-121.8794937,187.00,1742,1658,1500,1500
55610,1,-99.0000000,-99.0000000,14989640.00,184.00,36.6084976,-121.8794937,186.00,1747,1653,1500,1500
55685,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084938,-121.8795089,186.00,1747,1653,1500,1500
56613,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084938,-121.8795089,186.00,1746,1654,1500,1500
56690,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084823,-121.8795089,186.00,1746,1654,1500,1500
57611,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084823,-121.8795089,184.00,1756,1644,1500,1500
57687,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084785,-121.8795089,183.00,1761,1639,1500,1500
58610,1,-99.0000000,-99.0000000,14989638.00,184.00,36.6084785,-121.8795089,179.00,1782,1618,1500,1500
58687,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084709,-121.8795089,179.00,1782,1618,1500,1500
59611,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084709,-121.8795089,173.00,1812,1588,1500,1500
59687,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084671,-121.8795089,172.00,1818,1582,1500,1500
60607,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084671,-121.8795089,171.00,1824,1576,1500,1500
60682,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084632,-121.8795089,171.00,1824,1576,1500,1500
61603,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084632,-121.8795089,173.00,1815,1585,1500,1500
61681,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084594,-121.8795089,172.00,1821,1579,1500,1500
62607,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084594,-121.8795089,177.00,1796,1604,1500,1500
62685,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084518,-121.8795089,177.00,1796,1604,1500,1500
63600,1,-99.0000000,-99.0000000,14989635.00,184.00,36.6084518,-121.8795089,182.00,1771,1629,1500,1500
63677,1,-99.0000000,-99.0000000,14989632.00,184.00,36.6084480,-121.8795089,183.00,1766,1634,1500,1500
64600,1,-99.0000000,-99.0000000,14989632.00,184.00,36.6084480,-121.8795089,186.00,1751,1649,1500,1500
64676,1,-99.0000000,-99.0000000,14989632.00,184.00,36.6084442,-121.8795089,186.00,1751,1649,1500,1500
65604,1,-99.0000000,-99.0000000,14989632.00,184.00,36.6084442,-121.8795089,186.00,1751,1649,1500,1500
65682,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084365,-121.8795242,186.00,1751,1649,1500,1500
66599,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084365,-121.8795242,186.00,1751,1649,1500,1500
66677,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084251,-121.8795242,185.00,1756,1644,1500,1500
67599,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084251,-121.8795242,181.00,1776,1624,1500,1500
67674,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084213,-121.8795242,181.00,1776,1624,1500,1500
68602,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084213,-121.8795242,179.00,1786,1614,1500,1500
68677,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084175,-121.8795242,179.00,1787,1613,1500,1500
69604,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084175,-121.8795242,185.00,1757,1643,1500,1500
69679,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084136,-121.8795242,185.00,1757,1643,1500,1500
70602,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084136,-121.8795242,190.00,1731,1669,1500,1500
70678,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795242,190.00,1731,1669,1500,1500
71602,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795242,180.00,1781,1619,1500,1500
71677,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795242,180.00,1781,1619,1500,1500
72594,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795242,168.00,1842,1558,1500,1500
72671,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084022,-121.8795394,167.00,1848,1552,1500,1500
73598,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084022,-121.8795394,153.00,1900,1480,1500,1500
73675,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6083984,-121.8795394,153.00,1900,1479,1500,1500
74591,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6083984,-121.8795394,151.00,1900,1467,1500,1500
74668,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6083984,-121.8795394,152.00,1900,1471,1500,1500
75590,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6083984,-121.8795394,152.00,1900,1469,1500,1500
75667,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084022,-121.8795394,152.00,1900,1467,1500,1500
76590,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084022,-121.8795394,153.00,1900,1471,1500,1500
76665,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795394,152.00,1900,1464,1500,1500
77596,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084060,-121.8795394,153.00,1900,1468,1500,1500
77673,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084098,-121.8795547,154.00,1900,1471,1500,1500
78595,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084098,-121.8795547,150.00,1900,1450,1500,1500
78671,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084136,-121.8795547,149.00,1900,1443,1500,1500
79591,1,-99.0000000,-99.0000000,14989627.00,184.00,36.6084136,-121.8795547,151.00,1900,1451,1500,1500
79668,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084213,-121.8795547,151.00,1900,1450,1500,1500
80592,1,-99.0000000,-99.0000000,14989629.00,184.00,36.6084213,-121.8795547,157.00,1900,1478,1500,1500
80669,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084251,-121.8795700,158.00,1900,1482,1500,1500
81586,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084251,-121.8795700,159.00,1900,1486,1500,1500
81662,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084327,-121.8795700,159.00,1900,1484,1500,1500
82585,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084327,-121.8795700,152.00,1900,1448,1500,1500
82661,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084365,-121.8795700,152.00,1900,1446,1500,1500
83589,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084365,-121.8795700,149.00,1900,1429,1500,1500
83663,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084442,-121.8795928,149.00,1900,1428,1500,1500
84585,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084442,-121.8795928,153.00,1900,1446,1500,1500
84661,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084480,-121.8795928,153.00,1900,1445,1500,1500
85584,1,-99.0000000,-99.0000000,14989630.00,184.00,36.6084480,-121.8795928,155.00,1900,1453,1500,1500
85659,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084518,-121.8796081,155.00,1900,1452,1500,1500
86586,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084518,-121.8796081,153.00,1900,1440,1500,1500
86661,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084594,-121.8796081,153.00,1900,1439,1500,1500
87581,1,-99.0000000,-99.0000000,14989633.00,184.00,36.6084594,-121.8796081,150.00,1900,1422,1500,1500
