Time(ms),Waypoint_id,Waypoint_lat,Waypoint_lon,Distance_to_wp(meters),Bearing(degrees),Current_lat,Current_lon,Heading(degrees),FL,FR,DL,DR
8899,0,36.6086311,-121.8794708,12796765.00,311.00,0.0000000,0.0000000,154.00,1900,1300,1500,1500
8935,0,36.6086311,-121.8794708,12796765.00,311.00,0.0000000,0.0000000,154.00,1900,1300,1500,1500
9012,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,154.00,1300,1900,1500,1500
9929,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,153.00,1300,1900,1500,1500
10005,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,153.00,1300,1900,1500,1500
10935,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,132.00,1300,1900,1500,1500
11010,0,36.6086311,-121.8794708,22.60,49.00,36.6084976,-121.8796691,130.00,1300,1900,1500,1500
11927,0,36.6086311,-121.8794708,22.60,49.00,36.6084976,-121.8796691,111.00,1379,1900,1500,1500
12002,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,110.00,1376,1900,1500,1500
12934,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,94.00,1454,1900,1500,1500
13008,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,93.00,1456,1900,1500,1500
13933,0,36.6086311,-121.8794708,22.85,48.00,36.6084938,-121.8796691,74.00,1550,1850,1500,1500
14009,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,72.00,1549,1851,1500,1500
14934,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,55.00,1633,1767,1500,1500
15008,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,54.00,1638,1762,1500,1500
15924,0,36.6086311,-121.8794708,23.36,46.00,36.6084861,-121.8796691,40.00,1707,1693,1500,1500
15997,0,36.6086311,-121.8794708,21.95,46.00,36.6084938,-121.8796539,39.00,1713,1687,1500,1500
16923,0,36.6086311,-121.8794708,21.95,46.00,36.6084938,-121.8796539,29.00,1763,1637,1500,1500
16999,0,36.6086311,-121.8794708,21.95,46.00,36.6084938,-121.8796539,29.00,1764,1636,1500,1500
17925,0,36.6086311,-121.8794708,21.95,46.00,36.6084938,-121.8796539,31.00,1755,1645,1500,1500
18001,0,36.6086311,-121.8794708,21.44,47.00,36.6085014,-121.8796539,31.00,1761,1639,1500,1500
18929,0,36.6086311,-121.8794708,21.44,47.00,36.6085014,-121.8796539,38.00,1726,1674,1500,1500
19006,0,36.6086311,-121.8794708,20.29,46.00,36.6085052,-121.8796386,39.00,1717,1683,1500,1500
19930,0,36.6086311,-121.8794708,20.29,46.00,36.6085052,-121.8796386,49.00,1667,1733,1500,1500
20005,0,36.6086311,-121.8794708,20.02,46.00,36.6085090,-121.8796386,50.00,1662,1738,1500,1500
20929,0,36.6086311,-121.8794708,20.02,46.00,36.6085090,-121.8796386,55.00,1637,1763,1500,1500
21004,0,36.6086311,-121.8794708,19.51,47.00,36.6085128,-121.8796386,56.00,1636,1764,1500,1500
21919,0,36.6086311,-121.8794708,19.51,47.00,36.6085128,-121.8796386,54.00,1646,1754,1500,1500
21995,0,36.6086311,-121.8794708,19.51,47.00,36.6085166,-121.8796386,54.00,1646,1754,1500,1500
22920,0,36.6086311,-121.8794708,19.51,47.00,36.6085166,-121.8796386,47.00,1681,1719,1500,1500
22994,0,36.6086311,-121.8794708,18.62,45.00,36.6085166,-121.8796234,46.00,1676,1724,1500,1500
23920,0,36.6086311,-121.8794708,18.62,45.00,36.6085166,-121.8796234,41.00,1700,1700,1500,1500
23994,0,36.6086311,-121.8794708,18.10,48.00,36.6085205,-121.8796234,41.00,1715,1685,1500,1500
24923,0,36.6086311,-121.8794708,18.10,48.00,36.6085205,-121.8796234,40.00,1721,1679,1500,1500
24996,0,36.6086311,-121.8794708,18.10,48.00,36.6085243,-121.8796234,41.00,1716,1684,1500,1500
25919,0,36.6086311,-121.8794708,18.10,48.00,36.6085243,-121.8796234,45.00,1697,1703,1500,1500
25993,0,36.6086311,-121.8794708,16.69,46.00,36.6085281,-121.8796081,46.00,1682,1718,1500,1500
26926,0,36.6086311,-121.8794708,16.69,46.00,36.6085281,-121.8796081,50.00,1662,1738,1500,1500
27000,0,36.6086311,-121.8794708,16.18,47.00,36.6085357,-121.8796081,50.00,1667,1733,1500,1500
27916,0,36.6086311,-121.8794708,16.18,47.00,36.6085357,-121.8796081,54.00,1646,1754,1500,1500
27991,0,36.6086311,-121.8794708,16.18,47.00,36.6085357,-121.8796081,55.00,1641,1759,1500,1500
28921,0,36.6086311,-121.8794708,16.18,47.00,36.6085357,-121.8796081,56.00,1636,1764,1500,1500
28997,0,36.6086311,-121.8794708,15.02,46.00,36.6085395,-121.8795928,56.00,1630,1770,1500,1500
29918,0,36.6086311,-121.8794708,15.02,46.00,36.6085395,-121.8795928,49.00,1665,1735,1500,1500
29992,0,36.6086311,-121.8794708,14.76,47.00,36.6085433,-121.8795928,48.00,1675,1725,1500,1500
30912,0,36.6086311,-121.8794708,14.76,47.00,36.6085433,-121.8795928,43.00,1700,1700,1500,1500
30988,0,36.6086311,-121.8794708,14.76,47.00,36.6085433,-121.8795928,43.00,1700,1700,1500,1500
31918,0,36.6086311,-121.8794708,14.76,47.00,36.6085433,-121.8795928,39.00,1720,1680,1500,1500
31993,0,36.6086311,-121.8794708,12.49,42.00,36.6085472,-121.8795700,39.00,1696,1704,1500,1500
32914,0,36.6086311,-121.8794708,12.49,42.00,36.6085472,-121.8795700,36.00,1710,1690,1500,1500
32990,0,36.6086311,-121.8794708,11.94,46.00,36.6085548,-121.8795700,36.00,1731,1669,1500,1500
33918,0,36.6086311,-121.8794708,11.94,46.00,36.6085548,-121.8795700,38.00,1721,1679,1500,1500
33994,0,36.6086311,-121.8794708,11.68,47.00,36.6085586,-121.8795700,39.00,1721,1679,1500,1500
34918,0,36.6086311,-121.8794708,11.68,47.00,36.6085586,-121.8795700,42.00,1707,1693,1500,1500
34994,0,36.6086311,-121.8794708,11.43,47.00,36.6085624,-121.8795700,42.00,1707,1693,1500,1500
35917,0,36.6086311,-121.8794708,11.43,47.00,36.6085624,-121.8795700,45.00,1693,1707,1500,1500
35992,0,36.6086311,-121.8794708,10.28,44.00,36.6085662,-121.8795547,46.00,1673,1727,1500,1500
