Orientation, FL, FR, DL, DR
40.38,1500,1500,1800,1800
39.56,1500,1500,1800,1800
38.88,1500,1500,1800,1800
38.19,1500,1500,1800,1800
37.75,1500,1500,1800,1800
37.63,1500,1500,1800,1800
37.69,1500,1500,1800,1800
37.94,1500,1500,1800,1800
38.25,1500,1500,1800,1800
38.75,1500,1500,1800,1800
39.19,1500,1500,1800,1800
39.69,1500,1500,1800,1800
40.06,1500,1500,1800,1800
40.13,1500,1500,1800,1800
39.88,1500,1500,1800,1800
39.44,1500,1500,1800,1800
38.94,1500,1500,1800,1800
38.31,1500,1500,1800,1800
37.81,1500,1500,1800,1800
37.38,1500,1500,1800,1800
37.19,1500,1500,1800,1800
37.38,1500,1500,1800,1800
37.81,1500,1500,1800,1800
38.44,1500,1500,1800,1800
39.06,1500,1500,1800,1800
39.69,1500,1500,1800,1800
40.13,1500,1500,1800,1800
40.44,1500,1500,1800,1800
40.63,1500,1500,1800,1800
40.69,1500,1500,1800,1800
40.75,1500,1500,1800,1800
40.69,1500,1500,1800,1800
40.50,1500,1500,1800,1800
40.50,1500,1500,1800,1800
41.06,1500,1500,1800,1800
43.50,1500,1500,1800,1800
47.13,1500,1500,1800,1800
50.75,1500,1500,1800,1800
54.19,1500,1500,1800,1800
56.75,1500,1500,1800,1800
58.50,1500,1500,1800,1800
60.00,1500,1500,1800,1800
61.56,1500,1500,1800,1800
63.63,1500,1500,1800,1800
65.12,1500,1500,1800,1800
66.31,1500,1500,1800,1800
66.81,1500,1500,1800,1800
66.94,1500,1500,1800,1800
66.87,1500,1500,1800,1800
66.31,1500,1500,1800,1800
65.37,1500,1500,1800,1800
64.00,1500,1500,1800,1800
62.31,1500,1500,1800,1800
60.63,1500,1500,1800,1800
58.88,1500,1500,1800,1800
57.44,1500,1500,1800,1800
56.25,1500,1500,1800,1800
55.50,1500,1500,1800,1800
55.06,1500,1500,1800,1800
54.63,1500,1500,1800,1800
54.19,1500,1500,1800,1800
53.50,1500,1500,1800,1800
52.50,1500,1500,1800,1800
51.38,1500,1500,1800,1800
50.00,1500,1500,1800,1800
48.38,1500,1500,1800,1800
46.88,1500,1500,1800,1800
45.38,1500,1500,1800,1800
44.25,1500,1500,1800,1800
43.38,1500,1500,1800,1800
42.63,1500,1500,1800,1800
42.13,1500,1500,1800,1800
41.81,1500,1500,1800,1800
41.56,1500,1500,1800,1800
41.31,1500,1500,1800,1800
40.94,1500,1500,1800,1800
40.50,1500,1500,1800,1800
40.06,1500,1500,1800,1800
39.63,1500,1500,1800,1800
39.25,1500,1500,1800,1800
38.88,1500,1500,1800,1800
38.69,1500,1500,1800,1800
38.75,1500,1500,1800,1800
39.06,1500,1500,1800,1800
39.38,1500,1500,1800,1800
39.75,1500,1500,1800,1800
39.94,1500,1500,1800,1800
39.94,1500,1500,1800,1800
39.94,1500,1500,1800,1800
39.94,1500,1500,1800,1800
39.81,1500,1500,1800,1800
39.69,1500,1500,1800,1800
39.63,1500,1500,1800,1800
39.63,1500,1500,1800,1800
39.94,1500,1500,1800,1800
40.44,1500,1500,1800,1800
41.06,1500,1500,1800,1800
41.69,1500,1500,1800,1800
42.56,1500,1500,1800,1800
43.69,1500,1500,1800,1800
44.50,1500,1500,1800,1800
45.06,1500,1500,1800,1800
45.25,1500,1500,1800,1800
45.25,1500,1500,1800,1800
45.06,1500,1500,1800,1800
44.63,1500,1500,1800,1800
44.25,1500,1500,1800,1800
43.75,1500,1500,1800,1800
43.25,1500,1500,1800,1800
42.69,1500,1500,1800,1800
42.31,1500,1500,1800,1800
42.13,1500,1500,1800,1800
42.13,1500,1500,1800,1800
42.25,1500,1500,1800,1800
42.38,1500,1500,1800,1800
42.56,1500,1500,1800,1800
42.81,1500,1500,1800,1800
42.94,1500,1500,1800,1800
42.88,1500,1500,1800,1800
42.88,1500,1500,1800,1800
43.13,1500,1500,1800,1800
43.38,1500,1500,1800,1800
43.31,1500,1500,1800,1800
42.88,1500,1500,1800,1800
42.31,1500,1500,1800,1800
41.75,1500,1500,1800,1800
41.44,1500,1500,1800,1800
41.38,1500,1500,1800,1800
41.81,1500,1500,1800,1800
42.63,1500,1500,1800,1800
43.06,1500,1500,1800,1800
42.81,1500,1500,1800,1800
42.44,1500,1500,1800,1800
42.00,1500,1500,1800,1800
41.81,1500,1500,1800,1800
42.31,1500,1500,1800,1800
43.94,1500,1500,1800,1800
45.31,1500,1500,1800,1800
45.50,1500,1500,1800,1800
43.75,1500,1500,1800,1800
41.00,1500,1500,1800,1800
38.44,1500,1500,1800,1800
35.81,1500,1500,1800,1800
34.06,1500,1500,1800,1800
33.06,1500,1500,1800,1800
32.75,1500,1500,1800,1800
32.94,1500,1500,1800,1800
33.56,1500,1500,1800,1800
34.44,1500,1500,1800,1800
35.44,1500,1500,1800,1800
36.25,1500,1500,1800,1800
36.88,1500,1500,1800,1800
37.31,1500,1500,1800,1800
37.63,1500,1500,1800,1800
37.75,1500,1500,1800,1800
37.88,1500,1500,1800,1800
38.13,1500,1500,1800,1800
39.06,1500,1500,1800,1800
40.75,1500,1500,1800,1800
43.19,1500,1500,1800,1800
47.06,1500,1500,1800,1800
50.69,1500,1500,1800,1800
53.56,1500,1500,1800,1800
55.56,1500,1500,1800,1800
57.50,1500,1500,1800,1800
58.81,1500,1500,1800,1800
58.00,1500,1500,1800,1800
56.81,1500,1500,1800,1800
57.81,1500,1500,1800,1800
58.81,1500,1500,1800,1800
59.50,1500,1500,1800,1800
60.94,1500,1500,1800,1800
62.88,1500,1500,1800,1800
65.50,1500,1500,1800,1800
68.25,1500,1500,1800,1800
71.06,1500,1500,1800,1800
73.31,1500,1500,1800,1800
74.25,1500,1500,1800,1800
75.06,1500,1500,1800,1800
75.44,1500,1500,1800,1800
73.87,1500,1500,1800,1800
69.50,1500,1500,1800,1800
63.25,1500,1500,1800,1800
56.25,1500,1500,1800,1800
51.06,1500,1500,1800,1800
45.31,1500,1500,1800,1800
