Orientation, FL, FR, DL, DR
90.25,1500,1500,1638,1638
91.31,1500,1500,1637,1637
92.25,1500,1500,1636,1636
93.12,1500,1500,1635,1635
94.06,1500,1500,1634,1634
94.87,1500,1500,1632,1632
95.75,1500,1500,1631,1631
96.56,1500,1500,1629,1629
97.37,1500,1500,1628,1628
98.19,1500,1500,1626,1626
98.87,1500,1500,1625,1625
99.56,1500,1500,1623,1623
100.25,1500,1500,1621,1621
100.87,1500,1500,1620,1620
101.44,1500,1500,1618,1618
102.00,1500,1500,1616,1616
102.50,1500,1500,1614,1614
103.00,1500,1500,1613,1613
103.50,1500,1500,1611,1611
103.94,1500,1500,1609,1609
104.56,1500,1500,1607,1607
105.12,1500,1500,1605,1605
105.69,1500,1500,1603,1603
106.37,1500,1500,1600,1600
107.06,1500,1500,1598,1598
107.75,1500,1500,1595,1595
108.37,1500,1500,1593,1593
108.87,1500,1500,1591,1591
109.31,1500,1500,1588,1588
109.56,1500,1500,1586,1586
109.56,1500,1500,1584,1584
109.31,1500,1500,1582,1582
108.87,1500,1500,1581,1581
108.00,1500,1500,1580,1580
106.94,1500,1500,1579,1579
105.50,1500,1500,1579,1579
103.50,1500,1500,1580,1580
101.25,1500,1500,1581,1581
98.56,1500,1500,1583,1583
95.12,1500,1500,1586,1586
91.75,1500,1500,1589,1589
87.94,1500,1500,1593,1593
84.62,1500,1500,1597,1597
81.50,1500,1500,1601,1601
79.44,1500,1500,1604,1604
78.12,1500,1500,1607,1607
77.37,1500,1500,1608,1608
77.37,1500,1500,1610,1610
77.81,1500,1500,1610,1610
78.50,1500,1500,1611,1611
79.31,1500,1500,1611,1611
80.00,1500,1500,1611,1611
80.62,1500,1500,1612,1612
80.94,1500,1500,1612,1612
81.00,1500,1500,1613,1613
80.87,1500,1500,1614,1614
80.62,1500,1500,1616,1616
80.19,1500,1500,1617,1617
79.75,1500,1500,1618,1618
79.31,1500,1500,1620,1620
78.87,1500,1500,1621,1621
78.62,1500,1500,1623,1623
78.50,1500,1500,1624,1624
78.56,1500,1500,1625,1625
78.87,1500,1500,1626,1626
79.31,1500,1500,1627,1627
79.94,1500,1500,1627,1627
80.75,1500,1500,1627,1627
81.62,1500,1500,1627,1627
82.56,1500,1500,1627,1627
83.69,1500,1500,1626,1626
84.69,1500,1500,1626,1626
85.75,1500,1500,1625,1625
86.94,1500,1500,1624,1624
87.94,1500,1500,1624,1624
88.94,1500,1500,1623,1623
89.94,1500,1500,1622,1622
90.81,1500,1500,1621,1621
91.69,1500,1500,1620,1620
92.37,1500,1500,1619,1619
92.94,1500,1500,1618,1618
93.44,1500,1500,1617,1617
93.81,1500,1500,1616,1616
94.06,1500,1500,1616,1616
94.19,1500,1500,1615,1615
94.19,1500,1500,1615,1615
94.12,1500,1500,1614,1614
93.94,1500,1500,1614,1614
93.69,1500,1500,1614,1614
93.37,1500,1500,1614,1614
93.06,1500,1500,1614,1614
92.81,1500,1500,1614,1614
92.50,1500,1500,1614,1614
92.19,1500,1500,1614,1614
91.87,1500,1500,1614,1614
91.56,1500,1500,1614,1614
91.31,1500,1500,1614,1614
91.12,1500,1500,1615,1615
91.00,1500,1500,1615,1615
90.81,1500,1500,1615,1615
90.69,1500,1500,1615,1615
90.62,1500,1500,1615,1615
90.44,1500,1500,1615,1615
90.25,1500,1500,1615,1615
90.12,1500,1500,1615,1615
89.94,1500,1500,1615,1615
89.75,1500,1500,1616,1616
89.50,1500,1500,1616,1616
89.19,1500,1500,1616,1616
88.94,1500,1500,1617,1617
88.62,1500,1500,1617,1617
88.31,1500,1500,1618,1618
88.00,1500,1500,1618,1618
87.62,1500,1500,1619,1619
87.31,1500,1500,1619,1619
87.00,1500,1500,1620,1620
86.69,1500,1500,1621,1621
86.44,1500,1500,1621,1621
86.25,1500,1500,1622,1622
86.12,1500,1500,1622,1622
86.06,1500,1500,1623,1623
86.00,1500,1500,1623,1623
86.06,1500,1500,1623,1623
86.12,1500,1500,1624,1624
86.25,1500,1500,1624,1624
86.37,1500,1500,1624,1624
86.50,1500,1500,1625,1625
86.69,1500,1500,1625,1625
86.81,1500,1500,1625,1625
86.94,1500,1500,1625,1625
87.00,1500,1500,1625,1625
87.06,1500,1500,1626,1626
87.06,1500,1500,1626,1626
87.06,1500,1500,1626,1626
87.06,1500,1500,1626,1626
87.00,1500,1500,1627,1627
86.94,1500,1500,1627,1627
86.87,1500,1500,1628,1628
86.81,1500,1500,1628,1628
86.69,1500,1500,1628,1628
86.62,1500,1500,1629,1629
86.56,1500,1500,1629,1629
86.56,1500,1500,1630,1630
86.56,1500,1500,1630,1630
86.62,1500,1500,1630,1630
86.75,1500,1500,1630,1630
86.94,1500,1500,1630,1630
87.19,1500,1500,1630,1630
87.50,1500,1500,1630,1630
87.87,1500,1500,1630,1630
88.31,1500,1500,1630,1630
88.75,1500,1500,1630,1630
89.25,1500,1500,1629,1629
89.81,1500,1500,1629,1629
90.37,1500,1500,1628,1628
90.94,1500,1500,1627,1627
91.50,1500,1500,1627,1627
92.00,1500,1500,1626,1626
92.44,1500,1500,1625,1625
92.87,1500,1500,1625,1625
93.19,1500,1500,1624,1624
93.44,1500,1500,1623,1623
93.62,1500,1500,1623,1623
93.69,1500,1500,1622,1622
93.75,1500,1500,1622,1622
93.69,1500,1500,1622,1622
93.50,1500,1500,1622,1622
93.12,1500,1500,1622,1622
92.69,1500,1500,1622,1622
92.06,1500,1500,1622,1622
91.19,1500,1500,1623,1623
90.12,1500,1500,1624,1624
88.81,1500,1500,1625,1625
87.56,1500,1500,1627,1627
86.19,1500,1500,1629,1629
84.75,1500,1500,1631,1631
83.44,1500,1500,1633,1633
82.31,1500,1500,1635,1635
81.50,1500,1500,1636,1636
81.00,1500,1500,1638,1638
80.81,1500,1500,1639,1639
81.06,1500,1500,1639,1639
81.56,1500,1500,1640,1640
82.44,1500,1500,1639,1639
83.50,1500,1500,1639,1639
84.69,1500,1500,1638,1638
86.12,1500,1500,1637,1637
87.50,1500,1500,1636,1636
89.00,1500,1500,1635,1635
90.37,1500,1500,1633,1633
91.87,1500,1500,1632,1632
93.12,1500,1500,1630,1630
94.31,1500,1500,1629,1629
95.44,1500,1500,1627,1627
96.31,1500,1500,1625,1625
97.19,1500,1500,1624,1624
97.94,1500,1500,1622,1622
98.56,1500,1500,1621,1621
99.06,1500,1500,1619,1619
99.62,1500,1500,1618,1618
100.00,1500,1500,1617,1617
100.44,1500,1500,1615,1615
100.81,1500,1500,1614,1614
101.12,1500,1500,1612,1612
101.37,1500,1500,1611,1611
101.50,1500,1500,1609,1609
101.62,1500,1500,1608,1608
101.56,1500,1500,1607,1607
101.31,1500,1500,1606,1606
100.94,1500,1500,1606,1606
100.25,1500,1500,1605,1605
99.25,1500,1500,1605,1605
97.75,1500,1500,1606,1606
95.87,1500,1500,1607,1607
93.56,1500,1500,1609,1609
90.44,1500,1500,1612,1612
87.06,1500,1500,1616,1616
83.25,1500,1500,1621,1621
79.69,1500,1500,1625,1625
76.69,1500,1500,1630,1630
73.94,1500,1500,1634,1634
72.31,1500,1500,1637,1637
71.56,1500,1500,1640,1640
71.56,1500,1500,1642,1642
72.19,1500,1500,1643,1643
73.37,1500,1500,1643,1643
75.00,1500,1500,1643,1643
76.75,1500,1500,1643,1643
78.81,1500,1500,1642,1642
80.69,1500,1500,1641,1641
82.69,1500,1500,1640,1640
84.37,1500,1500,1638,1638
86.00,1500,1500,1637,1637
87.69,1500,1500,1636,1636
88.81,1500,1500,1635,1635
90.06,1500,1500,1633,1633
91.25,1500,1500,1632,1632
92.12,1500,1500,1631,1631
92.87,1500,1500,1630,1630
93.56,1500,1500,1629,1629
94.06,1500,1500,1628,1628
94.37,1500,1500,1627,1627
94.44,1500,1500,1627,1627
94.37,1500,1500,1626,1626
93.94,1500,1500,1627,1627
93.37,1500,1500,1627,1627
92.50,1500,1500,1627,1627
91.31,1500,1500,1628,1628
89.94,1500,1500,1630,1630
88.37,1500,1500,1632,1632
86.31,1500,1500,1634,1634
84.25,1500,1500,1637,1637
81.87,1500,1500,1640,1640
79.75,1500,1500,1643,1643
77.81,1500,1500,1646,1646
76.50,1500,1500,1649,1649
75.62,1500,1500,1651,1651
75.50,1500,1500,1653,1653
75.81,1500,1500,1654,1654
76.62,1500,1500,1654,1654
77.94,1500,1500,1654,1654
79.44,1500,1500,1654,1654
81.25,1500,1500,1653,1653
83.37,1500,1500,1651,1651
85.37,1500,1500,1650,1650
87.37,1500,1500,1648,1648
89.56,1500,1500,1646,1646
91.50,1500,1500,1644,1644
93.56,1500,1500,1641,1641
95.31,1500,1500,1639,1639
97.06,1500,1500,1637,1637
98.50,1500,1500,1634,1634
99.81,1500,1500,1632,1632
101.12,1500,1500,1630,1630
102.12,1500,1500,1627,1627
103.00,1500,1500,1625,1625
103.81,1500,1500,1623,1623
104.31,1500,1500,1621,1621
104.81,1500,1500,1619,1619
105.19,1500,1500,1617,1617
105.44,1500,1500,1615,1615
105.56,1500,1500,1614,1614
105.50,1500,1500,1612,1612
105.25,1500,1500,1611,1611
104.81,1500,1500,1610,1610
104.06,1500,1500,1609,1609
102.94,1500,1500,1609,1609
101.12,1500,1500,1610,1610
98.75,1500,1500,1611,1611
95.25,1500,1500,1614,1614
91.06,1500,1500,1619,1619
86.12,1500,1500,1624,1624
80.25,1500,1500,1631,1631
75.50,1500,1500,1637,1637
70.94,1500,1500,1643,1643
68.25,1500,1500,1648,1648
66.81,1500,1500,1652,1652
66.75,1500,1500,1654,1654
67.87,1500,1500,1655,1655
70.06,1500,1500,1655,1655
72.62,1500,1500,1654,1654
