Orientation, FL, FR, DL, DR
20.00,1500,1500,1654,1654
19.69,1500,1500,1668,1668
19.19,1500,1500,1683,1683
18.69,1500,1500,1699,1699
18.06,1500,1500,1714,1714
17.44,1500,1500,1730,1730
16.81,1500,1500,1746,1746
16.12,1500,1500,1762,1762
15.81,1500,1500,1777,1777
17.06,1500,1500,1790,1790
20.06,1500,1500,1798,1798
24.19,1500,1500,1803,1803
29.50,1500,1500,1804,1804
36.19,1500,1500,1801,1801
42.75,1500,1500,1798,1798
50.06,1500,1500,1792,1792
56.56,1500,1500,1785,1785
62.88,1500,1500,1778,1778
69.50,1500,1500,1769,1769
75.44,1500,1500,1760,1760
81.81,1500,1500,1750,1750
87.19,1500,1500,1738,1738
92.06,1500,1500,1728,1728
97.19,1500,1500,1718,1718
101.44,1500,1500,1706,1706
105.00,1500,1500,1696,1696
108.37,1500,1500,1685,1685
110.31,1500,1500,1677,1677
111.31,1500,1500,1671,1671
110.94,1500,1500,1668,1668
108.62,1500,1500,1668,1668
104.50,1500,1500,1674,1674
98.37,1500,1500,1684,1684
90.56,1500,1500,1700,1700
82.06,1500,1500,1719,1719
75.87,1500,1500,1734,1734
72.00,1500,1500,1745,1745
70.81,1500,1500,1751,1751
71.44,1500,1500,1754,1754
73.81,1500,1500,1752,1752
76.87,1500,1500,1749,1749
80.94,1500,1500,1743,1743
84.81,1500,1500,1736,1736
88.50,1500,1500,1729,1729
92.37,1500,1500,1720,1720
95.62,1500,1500,1713,1713
98.31,1500,1500,1706,1706
100.56,1500,1500,1699,1699
101.62,1500,1500,1695,1695
101.44,1500,1500,1693,1693
99.56,1500,1500,1695,1695
95.94,1500,1500,1701,1701
90.00,1500,1500,1713,1713
83.44,1500,1500,1727,1727
76.37,1500,1500,1743,1743
71.56,1500,1500,1757,1757
68.87,1500,1500,1767,1767
68.56,1500,1500,1772,1772
70.37,1500,1500,1772,1772
74.25,1500,1500,1768,1768
78.87,1500,1500,1760,1760
84.12,1500,1500,1751,1751
90.12,1500,1500,1740,1740
95.81,1500,1500,1727,1727
101.37,1500,1500,1713,1713
107.06,1500,1500,1698,1698
111.75,1500,1500,1685,1685
116.19,1500,1500,1671,1671
119.69,1500,1500,1658,1658
122.50,1500,1500,1646,1646
124.44,1500,1500,1635,1635
125.12,1500,1500,1626,1626
124.62,1500,1500,1620,1620
122.12,1500,1500,1619,1619
117.50,1500,1500,1623,1623
108.81,1500,1500,1634,1634
97.06,1500,1500,1658,1658
83.00,1500,1500,1688,1688
69.00,1500,1500,1720,1720
60.63,1500,1500,1743,1743
56.44,1500,1500,1757,1757
56.69,1500,1500,1764,1764
60.19,1500,1500,1764,1764
65.19,1500,1500,1758,1758
71.19,1500,1500,1750,1750
78.31,1500,1500,1739,1739
84.62,1500,1500,1726,1726
90.69,1500,1500,1714,1714
97.31,1500,1500,1701,1701
103.00,1500,1500,1685,1685
108.12,1500,1500,1672,1672
113.25,1500,1500,1657,1657
117.12,1500,1500,1644,1644
120.81,1500,1500,1631,1631
123.44,1500,1500,1618,1618
125.25,1500,1500,1607,1607
126.44,1500,1500,1598,1598
126.81,1500,1500,1590,1590
126.50,1500,1500,1583,1583
125.31,1500,1500,1578,1578
123.12,1500,1500,1576,1576
119.31,1500,1500,1577,1577
114.06,1500,1500,1583,1583
106.44,1500,1500,1595,1595
95.12,1500,1500,1617,1617
82.75,1500,1500,1643,1643
69.50,1500,1500,1671,1671
60.44,1500,1500,1698,1698
54.63,1500,1500,1715,1715
52.75,1500,1500,1727,1727
53.44,1500,1500,1733,1733
56.25,1500,1500,1735,1735
59.88,1500,1500,1733,1733
63.94,1500,1500,1730,1730
68.44,1500,1500,1727,1727
72.25,1500,1500,1722,1722
75.81,1500,1500,1717,1717
79.56,1500,1500,1712,1712
82.81,1500,1500,1707,1707
86.19,1500,1500,1702,1702
89.06,1500,1500,1695,1695
91.56,1500,1500,1690,1690
94.19,1500,1500,1684,1684
96.25,1500,1500,1679,1679
97.75,1500,1500,1674,1674
98.69,1500,1500,1671,1671
98.50,1500,1500,1669,1669
97.12,1500,1500,1671,1671
93.75,1500,1500,1677,1677
89.00,1500,1500,1686,1686
82.19,1500,1500,1700,1700
75.44,1500,1500,1718,1718
69.25,1500,1500,1734,1734
64.44,1500,1500,1749,1749
61.88,1500,1500,1760,1760
61.25,1500,1500,1767,1767
62.44,1500,1500,1770,1770
65.00,1500,1500,1770,1770
68.87,1500,1500,1766,1766
73.19,1500,1500,1761,1761
77.87,1500,1500,1754,1754
83.19,1500,1500,1745,1745
87.81,1500,1500,1736,1736
92.94,1500,1500,1726,1726
97.62,1500,1500,1714,1714
102.06,1500,1500,1703,1703
106.44,1500,1500,1691,1691
110.12,1500,1500,1680,1680
113.56,1500,1500,1669,1669
115.87,1500,1500,1658,1658
117.19,1500,1500,1650,1650
116.87,1500,1500,1645,1645
114.31,1500,1500,1646,1646
108.37,1500,1500,1654,1654
96.62,1500,1500,1676,1676
81.31,1500,1500,1708,1708
64.19,1500,1500,1745,1745
53.69,1500,1500,1776,1776
48.63,1500,1500,1794,1794
48.44,1500,1500,1803,1803
51.56,1500,1500,1804,1804
57.44,1500,1500,1800,1800
64.19,1500,1500,1791,1791
71.62,1500,1500,1780,1780
80.12,1500,1500,1765,1765
87.69,1500,1500,1750,1750
94.69,1500,1500,1735,1735
102.62,1500,1500,1717,1717
109.12,1500,1500,1700,1700
115.44,1500,1500,1682,1682
121.75,1500,1500,1663,1663
126.81,1500,1500,1646,1646
131.88,1500,1500,1627,1627
135.81,1500,1500,1610,1610
139.50,1500,1500,1594,1594
142.13,1500,1500,1577,1577
144.06,1500,1500,1563,1563
145.25,1500,1500,1549,1549
145.13,1500,1500,1538,1538
143.31,1500,1500,1531,1531
137.69,1500,1500,1531,1531
