Orientation, FL, FR, DL, DR
0.00,1500,1500,1549,1549
-0.44,1500,1500,1554,1554
-1.12,1500,1500,1559,1559
-1.81,1500,1500,1564,1564
-2.31,1500,1500,1568,1568
-2.44,1500,1500,1573,1573
-2.25,1500,1500,1578,1578
-1.75,1500,1500,1582,1582
-0.94,1500,1500,1586,1586
0.00,1500,1500,1590,1590
0.81,1500,1500,1594,1594
1.19,1500,1500,1598,1598
1.06,1500,1500,1603,1603
0.50,1500,1500,1608,1608
-0.12,1500,1500,1613,1613
-0.75,1500,1500,1617,1617
-1.25,1500,1500,1622,1622
-1.37,1500,1500,1627,1627
-1.25,1500,1500,1631,1631
-0.75,1500,1500,1636,1636
-0.06,1500,1500,1640,1640
0.56,1500,1500,1644,1644
1.31,1500,1500,1648,1648
1.75,1500,1500,1652,1652
1.94,1500,1500,1657,1657
1.88,1500,1500,1661,1661
1.63,1500,1500,1665,1665
1.31,1500,1500,1670,1670
1.19,1500,1500,1675,1675
1.19,1500,1500,1679,1679
1.37,1500,1500,1683,1683
1.63,1500,1500,1688,1688
2.00,1500,1500,1692,1692
2.31,1500,1500,1696,1696
2.56,1500,1500,1700,1700
2.81,1500,1500,1705,1705
2.94,1500,1500,1709,1709
3.06,1500,1500,1713,1713
3.19,1500,1500,1717,1717
3.38,1500,1500,1722,1722
3.81,1500,1500,1726,1726
4.25,1500,1500,1730,1730
4.75,1500,1500,1734,1734
5.19,1500,1500,1738,1738
5.56,1500,1500,1742,1742
5.94,1500,1500,1746,1746
6.31,1500,1500,1750,1750
6.81,1500,1500,1754,1754
7.38,1500,1500,1758,1758
8.00,1500,1500,1761,1761
8.69,1500,1500,1765,1765
9.44,1500,1500,1769,1769
10.19,1500,1500,1772,1772
11.06,1500,1500,1776,1776
11.88,1500,1500,1779,1779
12.81,1500,1500,1783,1783
13.56,1500,1500,1786,1786
14.25,1500,1500,1790,1790
15.00,1500,1500,1793,1793
15.88,1500,1500,1796,1796
16.75,1500,1500,1800,1800
17.87,1500,1500,1800,1800
18.94,1500,1500,1800,1800
20.06,1500,1500,1800,1800
21.25,1500,1500,1800,1800
22.19,1500,1500,1800,1800
23.19,1500,1500,1800,1800
24.00,1500,1500,1800,1800
24.87,1500,1500,1800,1800
25.56,1500,1500,1800,1800
26.25,1500,1500,1800,1800
26.94,1500,1500,1800,1800
27.56,1500,1500,1800,1800
28.19,1500,1500,1800,1800
28.81,1500,1500,1800,1800
29.25,1500,1500,1800,1800
29.62,1500,1500,1800,1800
29.87,1500,1500,1800,1800
29.87,1500,1500,1800,1800
29.87,1500,1500,1800,1800
29.75,1500,1500,1800,1800
29.62,1500,1500,1800,1800
29.44,1500,1500,1800,1800
29.31,1500,1500,1800,1800
29.12,1500,1500,1800,1800
29.00,1500,1500,1800,1800
28.94,1500,1500,1800,1800
28.87,1500,1500,1800,1800
28.87,1500,1500,1800,1800
28.94,1500,1500,1800,1800
28.94,1500,1500,1800,1800
28.94,1500,1500,1800,1800
29.00,1500,1500,1800,1800
29.00,1500,1500,1800,1800
29.00,1500,1500,1800,1800
28.94,1500,1500,1800,1800
28.87,1500,1500,1800,1800
28.75,1500,1500,1800,1800
28.69,1500,1500,1800,1800
28.62,1500,1500,1800,1800
28.56,1500,1500,1800,1800
28.50,1500,1500,1800,1800
28.50,1500,1500,1800,1800
28.56,1500,1500,1800,1800
28.69,1500,1500,1800,1800
28.81,1500,1500,1800,1800
28.87,1500,1500,1800,1800
28.87,1500,1500,1800,1800
28.69,1500,1500,1800,1800
28.50,1500,1500,1800,1800
28.12,1500,1500,1800,1800
27.75,1500,1500,1800,1800
27.44,1500,1500,1800,1800
27.06,1500,1500,1800,1800
26.75,1500,1500,1800,1800
26.56,1500,1500,1800,1800
26.50,1500,1500,1800,1800
26.56,1500,1500,1800,1800
26.62,1500,1500,1800,1800
26.81,1500,1500,1800,1800
26.94,1500,1500,1800,1800
27.00,1500,1500,1800,1800
26.94,1500,1500,1800,1800
26.87,1500,1500,1800,1800
26.69,1500,1500,1800,1800
26.44,1500,1500,1800,1800
26.12,1500,1500,1800,1800
25.87,1500,1500,1800,1800
25.69,1500,1500,1800,1800
25.56,1500,1500,1800,1800
25.56,1500,1500,1800,1800
25.69,1500,1500,1800,1800
25.87,1500,1500,1800,1800
26.06,1500,1500,1800,1800
26.37,1500,1500,1800,1800
26.62,1500,1500,1800,1800
26.87,1500,1500,1800,1800
27.00,1500,1500,1800,1800
27.06,1500,1500,1800,1800
27.00,1500,1500,1800,1800
26.87,1500,1500,1800,1800
26.69,1500,1500,1800,1800
26.37,1500,1500,1800,1800
26.06,1500,1500,1800,1800
25.81,1500,1500,1800,1800
25.62,1500,1500,1800,1800
25.37,1500,1500,1800,1800
25.25,1500,1500,1800,1800
25.19,1500,1500,1800,1800
25.25,1500,1500,1800,1800
25.37,1500,1500,1800,1800
25.56,1500,1500,1800,1800
25.62,1500,1500,1800,1800
25.75,1500,1500,1800,1800
25.81,1500,1500,1800,1800
25.87,1500,1500,1800,1800
26.50,1500,1500,1800,1800
27.25,1500,1500,1800,1800
27.94,1500,1500,1800,1800
28.69,1500,1500,1800,1800
29.37,1500,1500,1800,1800
30.06,1500,1500,1800,1800
30.81,1500,1500,1800,1800
31.62,1500,1500,1800,1800
32.38,1500,1500,1800,1800
33.19,1500,1500,1800,1800
33.75,1500,1500,1800,1800
34.25,1500,1500,1800,1800
34.75,1500,1500,1800,1800
35.13,1500,1500,1800,1800
35.44,1500,1500,1800,1800
35.69,1500,1500,1800,1800
35.94,1500,1500,1800,1800
36.19,1500,1500,1800,1800
36.44,1500,1500,1800,1800
36.63,1500,1500,1800,1800
37.00,1500,1500,1800,1800
37.31,1500,1500,1800,1800
37.69,1500,1500,1800,1800
38.06,1500,1500,1800,1800
38.44,1500,1500,1800,1800
38.81,1500,1500,1800,1800
39.19,1500,1500,1800,1800
39.56,1500,1500,1800,1800
40.00,1500,1500,1800,1800
40.50,1500,1500,1800,1800
41.00,1500,1500,1800,1800
41.50,1500,1500,1800,1800
42.00,1500,1500,1800,1800
42.50,1500,1500,1800,1800
43.00,1500,1500,1800,1800
43.63,1500,1500,1800,1800
44.25,1500,1500,1800,1800
45.00,1500,1500,1800,1800
45.69,1500,1500,1800,1800
46.38,1500,1500,1800,1800
47.19,1500,1500,1800,1800
47.94,1500,1500,1800,1800
48.94,1500,1500,1800,1800
49.88,1500,1500,1800,1800
50.94,1500,1500,1800,1800
52.00,1500,1500,1800,1800
52.88,1500,1500,1800,1800
53.75,1500,1500,1800,1800
54.50,1500,1500,1800,1800
55.25,1500,1500,1800,1800
55.69,1500,1500,1800,1800
55.38,1500,1500,1800,1800
55.19,1500,1500,1800,1800
55.06,1500,1500,1800,1800
55.06,1500,1500,1800,1800
55.00,1500,1500,1800,1800
54.88,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.88,1500,1500,1800,1800
54.94,1500,1500,1800,1800
55.00,1500,1500,1800,1800
55.06,1500,1500,1800,1800
55.13,1500,1500,1800,1800
55.19,1500,1500,1800,1800
55.19,1500,1500,1800,1800
55.25,1500,1500,1800,1800
55.31,1500,1500,1800,1800
55.31,1500,1500,1800,1800
55.31,1500,1500,1800,1800
55.13,1500,1500,1800,1800
54.94,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.63,1500,1500,1800,1800
54.44,1500,1500,1800,1800
54.38,1500,1500,1800,1800
54.31,1500,1500,1800,1800
54.38,1500,1500,1800,1800
54.44,1500,1500,1800,1800
54.56,1500,1500,1800,1800
54.81,1500,1500,1800,1800
55.00,1500,1500,1800,1800
55.19,1500,1500,1800,1800
55.38,1500,1500,1800,1800
55.56,1500,1500,1800,1800
55.69,1500,1500,1800,1800
55.75,1500,1500,1800,1800
55.63,1500,1500,1800,1800
55.44,1500,1500,1800,1800
55.13,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.50,1500,1500,1800,1800
54.31,1500,1500,1800,1800
54.19,1500,1500,1800,1800
54.06,1500,1500,1800,1800
54.00,1500,1500,1800,1800
54.00,1500,1500,1800,1800
54.06,1500,1500,1800,1800
54.19,1500,1500,1800,1800
54.38,1500,1500,1800,1800
54.56,1500,1500,1800,1800
54.75,1500,1500,1800,1800
55.06,1500,1500,1800,1800
55.31,1500,1500,1800,1800
55.50,1500,1500,1800,1800
55.50,1500,1500,1800,1800
55.38,1500,1500,1800,1800
55.19,1500,1500,1800,1800
55.00,1500,1500,1800,1800
54.81,1500,1500,1800,1800
54.63,1500,1500,1800,1800
54.44,1500,1500,1800,1800
54.25,1500,1500,1800,1800
54.13,1500,1500,1800,1800
54.00,1500,1500,1800,1800
53.88,1500,1500,1800,1800
53.88,1500,1500,1800,1800
53.88,1500,1500,1800,1800
54.00,1500,1500,1800,1800
54.25,1500,1500,1800,1800
54.44,1500,1500,1800,1800
54.81,1500,1500,1800,1800
