Orientation, FL, FR, DL, DR
78.75,1500,1500,1678,1678
75.69,1500,1500,1683,1683
73.00,1500,1500,1687,1687
70.69,1500,1500,1691,1691
69.44,1500,1500,1695,1695
69.00,1500,1500,1697,1697
69.44,1500,1500,1699,1699
70.56,1500,1500,1700,1700
72.50,1500,1500,1699,1699
74.75,1500,1500,1699,1699
77.56,1500,1500,1697,1697
80.25,1500,1500,1695,1695
83.06,1500,1500,1693,1693
86.19,1500,1500,1690,1690
89.06,1500,1500,1688,1688
91.69,1500,1500,1685,1685
94.69,1500,1500,1681,1681
97.12,1500,1500,1678,1678
99.37,1500,1500,1675,1675
101.37,1500,1500,1672,1672
102.62,1500,1500,1669,1669
103.19,1500,1500,1668,1668
102.81,1500,1500,1667,1667
101.31,1500,1500,1667,1667
98.19,1500,1500,1670,1670
93.94,1500,1500,1673,1673
87.87,1500,1500,1679,1679
81.69,1500,1500,1687,1687
75.81,1500,1500,1694,1694
70.62,1500,1500,1701,1701
67.69,1500,1500,1706,1706
66.69,1500,1500,1709,1709
67.50,1500,1500,1711,1711
69.75,1500,1500,1711,1711
73.06,1500,1500,1709,1709
77.50,1500,1500,1706,1706
81.81,1500,1500,1702,1702
86.56,1500,1500,1698,1698
90.62,1500,1500,1694,1694
95.06,1500,1500,1689,1689
98.81,1500,1500,1684,1684
102.25,1500,1500,1679,1679
105.56,1500,1500,1675,1675
108.00,1500,1500,1670,1670
109.69,1500,1500,1667,1667
110.81,1500,1500,1664,1664
110.87,1500,1500,1661,1661
109.62,1500,1500,1661,1661
106.37,1500,1500,1663,1663
101.31,1500,1500,1667,1667
93.37,1500,1500,1674,1674
84.56,1500,1500,1684,1684
74.94,1500,1500,1694,1694
67.81,1500,1500,1704,1704
63.06,1500,1500,1711,1711
61.00,1500,1500,1716,1716
61.69,1500,1500,1718,1718
64.25,1500,1500,1718,1718
68.56,1500,1500,1716,1716
73.25,1500,1500,1713,1713
78.75,1500,1500,1709,1709
83.75,1500,1500,1704,1704
88.12,1500,1500,1700,1700
92.87,1500,1500,1695,1695
97.31,1500,1500,1690,1690
101.94,1500,1500,1684,1684
106.00,1500,1500,1678,1678
109.62,1500,1500,1673,1673
113.56,1500,1500,1666,1666
116.75,1500,1500,1661,1661
119.50,1500,1500,1655,1655
121.94,1500,1500,1649,1649
123.44,1500,1500,1645,1645
124.12,1500,1500,1640,1640
123.44,1500,1500,1638,1638
121.06,1500,1500,1637,1637
115.62,1500,1500,1640,1640
107.69,1500,1500,1647,1647
96.00,1500,1500,1658,1658
84.62,1500,1500,1670,1670
74.81,1500,1500,1681,1681
67.69,1500,1500,1690,1690
64.44,1500,1500,1696,1696
63.75,1500,1500,1699,1699
65.31,1500,1500,1700,1700
68.25,1500,1500,1699,1699
72.56,1500,1500,1697,1697
77.06,1500,1500,1693,1693
81.81,1500,1500,1689,1689
86.81,1500,1500,1685,1685
91.37,1500,1500,1680,1680
95.94,1500,1500,1675,1675
99.69,1500,1500,1670,1670
103.12,1500,1500,1665,1665
106.19,1500,1500,1661,1661
108.25,1500,1500,1657,1657
109.44,1500,1500,1654,1654
109.50,1500,1500,1652,1652
108.06,1500,1500,1651,1651
104.25,1500,1500,1653,1653
98.37,1500,1500,1659,1659
89.94,1500,1500,1668,1668
78.94,1500,1500,1680,1680
69.44,1500,1500,1691,1691
61.56,1500,1500,1702,1702
57.69,1500,1500,1709,1709
56.94,1500,1500,1713,1713
58.75,1500,1500,1714,1714
62.25,1500,1500,1713,1713
66.75,1500,1500,1711,1711
72.37,1500,1500,1707,1707
77.69,1500,1500,1703,1703
83.69,1500,1500,1698,1698
88.69,1500,1500,1693,1693
93.87,1500,1500,1687,1687
99.37,1500,1500,1681,1681
104.19,1500,1500,1675,1675
109.12,1500,1500,1668,1668
113.50,1500,1500,1661,1661
117.56,1500,1500,1654,1654
121.56,1500,1500,1647,1647
124.81,1500,1500,1640,1640
127.56,1500,1500,1634,1634
129.94,1500,1500,1628,1628
131.50,1500,1500,1622,1622
132.31,1500,1500,1617,1617
132.13,1500,1500,1613,1613
130.63,1500,1500,1610,1610
126.62,1500,1500,1611,1611
119.62,1500,1500,1615,1615
105.94,1500,1500,1626,1626
87.37,1500,1500,1646,1646
67.75,1500,1500,1668,1668
53.19,1500,1500,1686,1686
46.88,1500,1500,1696,1696
45.63,1500,1500,1702,1702
48.00,1500,1500,1704,1704
52.44,1500,1500,1703,1703
58.69,1500,1500,1700,1700
64.69,1500,1500,1696,1696
70.44,1500,1500,1692,1692
76.19,1500,1500,1688,1688
80.69,1500,1500,1684,1684
84.94,1500,1500,1681,1681
88.25,1500,1500,1678,1678
90.81,1500,1500,1675,1675
93.00,1500,1500,1673,1673
94.19,1500,1500,1671,1671
94.44,1500,1500,1670,1670
93.50,1500,1500,1671,1671
91.31,1500,1500,1673,1673
87.94,1500,1500,1677,1677
83.00,1500,1500,1683,1683
77.81,1500,1500,1689,1689
72.25,1500,1500,1696,1696
68.06,1500,1500,1703,1703
64.87,1500,1500,1708,1708
63.50,1500,1500,1712,1712
63.56,1500,1500,1715,1715
65.00,1500,1500,1716,1716
67.25,1500,1500,1716,1716
70.19,1500,1500,1715,1715
73.81,1500,1500,1713,1713
77.37,1500,1500,1710,1710
81.06,1500,1500,1708,1708
85.00,1500,1500,1704,1704
88.50,1500,1500,1701,1701
92.31,1500,1500,1697,1697
95.75,1500,1500,1693,1693
99.25,1500,1500,1689,1689
102.19,1500,1500,1684,1684
104.94,1500,1500,1680,1680
107.50,1500,1500,1676,1676
109.50,1500,1500,1672,1672
111.00,1500,1500,1668,1668
111.75,1500,1500,1665,1665
111.37,1500,1500,1664,1664
109.62,1500,1500,1663,1663
105.62,1500,1500,1666,1666
99.62,1500,1500,1671,1671
90.44,1500,1500,1680,1680
80.69,1500,1500,1691,1691
70.81,1500,1500,1702,1702
64.31,1500,1500,1712,1712
60.81,1500,1500,1718,1718
60.38,1500,1500,1721,1721
62.38,1500,1500,1722,1722
66.06,1500,1500,1721,1721
71.31,1500,1500,1718,1718
76.56,1500,1500,1713,1713
82.50,1500,1500,1709,1709
85.94,1500,1500,1705,1705
88.12,1500,1500,1703,1703
90.87,1500,1500,1700,1700
93.44,1500,1500,1697,1697
96.25,1500,1500,1694,1694
98.75,1500,1500,1691,1691
101.19,1500,1500,1687,1687
103.69,1500,1500,1683,1683
105.69,1500,1500,1680,1680
107.44,1500,1500,1676,1676
108.75,1500,1500,1673,1673
109.62,1500,1500,1670,1670
109.75,1500,1500,1668,1668
108.94,1500,1500,1667,1667
107.06,1500,1500,1667,1667
